model,validation_season,dimension,segment,rows,weight,actual_rate,predicted_rate,mean_bias,brier,weighted_excess_vs_fold_reference
constant,2022,li_bucket,<=0.5,77870,0.31466186073576,0.5223449338641325,0.5431423520563062,0.020797418192173733,0.24993323653406777,0.00024217276349562179
constant,2022,score_bucket,four_plus,56644,0.22889054115213034,0.5236918296730457,0.5431423520563062,0.019450522383260505,0.24981702002772518,0.00014955984490779036
constant,2022,score_bucket,one_run,56159,0.22693072347578716,0.5345002581954806,0.5431423520563063,0.008642093860825706,0.24888441797074454,-6.335678314490593e-05
constant,2022,score_bucket,tie,66107,0.2671292105773582,0.5274781793153523,0.5431423520563062,0.015664172740953886,0.24949031596917187,8.72732562332642e-05
constant,2022,score_bucket,two_three,68562,0.2770495247947243,0.5300603833027041,0.5431423520563062,0.013081968753602125,0.24926751126216476,2.8786364278924288e-05
constant,2022,pitcher_history_missing,available,244531,0.9881158272451025,0.528603735313723,0.5431423520563059,0.014538616742582944,0.2493931977028902,0.000226861272238717
constant,2022,pitcher_history_missing,missing,2941,0.011884172754897523,0.555253315198912,0.5431423520563063,-0.012110963142605624,0.24709374658777125,-2.459858996370005e-05
constant,2022,pitcher_seen_before,new,38950,0.15739154328570504,0.5438767650834403,0.5431423520563062,-0.0007344130271340621,0.24807536884830708,-0.0001712796311003595
constant,2022,pitcher_seen_before,seen,208522,0.842608456714295,0.526126739624596,0.5431423520563059,0.017015612431709903,0.24960692454301484,0.00037354231337546233
constant,2022,batter_seen_before,new,27278,0.11022661149544191,0.5533030280812377,0.5431423520563062,-0.010160676024931425,0.24726202653465443,-0.000209604875490799
constant,2022,batter_seen_before,seen,220194,0.8897733885045581,0.5258998882803346,0.543142352056306,0.017242463775971384,0.2496264983441319,0.0004118675577658248
constant,2022,pitcher_hand,1,62216,0.2514062196935411,0.5157837212292657,0.5431423520563063,0.027358630827040598,0.25049936882488716,0.00033581859289467296
constant,2022,pitcher_hand,2,185256,0.748593780306459,0.5333322537461674,0.543142352056306,0.00981009831013857,0.24898519888905574,-0.00013355591061961592
constant,2022,batter_hand,1,124834,0.5044368655847934,0.5255058717977474,0.5431423520563063,0.017636480258558906,0.24966049593974748,0.00025064862195043567
