probability_bin,rows,predicted_rate,actual_rate,model,validation_season,calibration_gap
8,24552,0.5697111175658344,0.5627240143369175,histgb,2023,0.0069871032289168244
9,24553,0.6873881760535693,0.4725288152160632,histgb,2023,0.21485936083750606
0,25351,0.43237065587737367,0.42266577255335097,histgb,2024,0.009704883324022695
1,25351,0.45696100159860614,0.44680683207763006,histgb,2024,0.010154169520976086
2,25350,0.47008689434588297,0.46106508875739644,histgb,2024,0.009021805588486531
3,25351,0.48034143958445286,0.47075066072344285,histgb,2024,0.009590778861010008
4,25351,0.4902881460084491,0.4782454341051635,histgb,2024,0.012042711903285597
5,25350,0.5006369810730134,0.4808678500986193,histgb,2024,0.019769130974394034
6,25351,0.5119191132740206,0.49694292138377183,histgb,2024,0.014976191890248791
7,25350,0.5244317011062397,0.5097435897435898,histgb,2024,0.014688111362649914
8,25351,0.540339452088365,0.528933769871011,histgb,2024,0.01140568221735394
9,25351,0.5725505694371882,0.5650270206303499,histgb,2024,0.007523548806838254
0,24748,0.4614122816052323,0.44856149991918537,random_forest,2022,0.01285078168604692
1,24747,0.4809616173169922,0.46458156544227586,random_forest,2022,0.01638005187471636
2,24747,0.49314321097860775,0.47553238776417345,random_forest,2022,0.0176108232144343
3,24747,0.5031777529958621,0.5023235139612883,random_forest,2022,0.0008542390345738227
4,24747,0.5120039245201253,0.5059199094839778,random_forest,2022,0.006084015036147528
5,24747,0.5201910938199684,0.5197801753747929,random_forest,2022,0.0004109184451754899
6,24747,0.5309821631656804,0.5285489150200025,random_forest,2022,0.002433248145677913
7,24747,0.5457069504740013,0.5424091809108175,random_forest,2022,0.003297769563183839
8,24747,0.5784483175162676,0.5908999070594415,random_forest,2022,-0.012451589543173935
9,24748,0.6773208378549056,0.7106432843058025,random_forest,2022,-0.03332244645089688
0,24553,0.45551659362745095,0.4368508939844418,random_forest,2023,0.018665699643009126
1,24552,0.4746475983518672,0.464890843923102,random_forest,2023,0.009756754428765224
2,24553,0.4861723019045682,0.4779863967743249,random_forest,2023,0.00818590513024331
3,24552,0.49606002059777615,0.4988595633756924,random_forest,2023,-0.002799542777916275
4,24553,0.5058119750946108,0.5039302732863601,random_forest,2023,0.0018817018082507575
5,24552,0.5153641974801471,0.5112414467253177,random_forest,2023,0.004122750754829374
6,24552,0.525190124506861,0.5300993809058325,random_forest,2023,-0.004909256398971551
7,24553,0.5370790160034732,0.5370423166211868,random_forest,2023,3.669938228634262e-05
8,24552,0.5623232168662232,0.5647197784294559,random_forest,2023,-0.0023965615632326465
9,24553,0.6451590667319695,0.4739543029365047,random_forest,2023,0.17120476379546484
0,25351,0.4483830652414379,0.43402627115301173,random_forest,2024,0.014356794088426161
1,25351,0.4677079117913745,0.4557611139600016,random_forest,2024,0.011946797831372924
2,25350,0.47850072449384223,0.4631163708086785,random_forest,2024,0.01538435368516372
3,25351,0.4869151570699224,0.4632953335174155,random_forest,2024,0.023619823552506913
4,25351,0.4951132941767448,0.4723679539268668,random_forest,2024,0.02274534024987801
5,25350,0.5036913989995141,0.491163708086785,random_forest,2024,0.012527690912729095
6,25351,0.5120706169943361,0.49149934913810106,random_forest,2024,0.02057126785623503
7,25350,0.5217344993304277,0.508836291913215,random_forest,2024,0.012898207417212704
8,25351,0.535517759395307,0.5188355488935348,random_forest,2024,0.01668221050177221
9,25351,0.5625505497226383,0.5621474498047414,random_forest,2024,0.0004030999178968875
