number,value,params_catboost_fraction_of_remainder,params_official_weight,user_attrs_catboost_weight,user_attrs_residual_weight,state
673,1.0034971495749414,0.8822908629455974,0.5679227257217087,0.3812178311821753,0.05085944309611608,COMPLETE
674,1.0034726811416208,0.8942221321240862,0.5601230993672601,0.39334765995594345,0.046529240676796424,COMPLETE
675,1.003424445256486,0.994779583256079,0.5727230860487162,0.42504635039540156,0.002230563555882192,COMPLETE
676,1.0034233310822354,0.8531042716301289,0.5068362403104602,0.4207201100043208,0.07244364968521902,COMPLETE
677,1.0034092320314396,0.9956623124186796,0.5652860496871537,0.4328282970091476,0.0018856533036987497,COMPLETE
678,1.0039431115640804,0.9830896101988587,0.7929539410262466,0.20354482940971713,0.003501229564036269,COMPLETE
679,1.0032959691838566,0.9893956890733575,0.5024148697687233,0.49230858279783035,0.005276547433446355,COMPLETE
680,1.0034140239947984,0.9903299151641188,0.5661196065395776,0.4296847332470346,0.004195660213387784,COMPLETE
681,1.0032936702547621,0.9897680381217632,0.5012460272080874,0.4936507411556866,0.005103231636226018,COMPLETE
682,1.003383260033512,0.8807645688464961,0.5001529455480747,0.4402475754035411,0.05959947904838425,COMPLETE
683,1.0033039673115933,0.9743906282225814,0.5011862079195611,0.4860394842313469,0.012774307849091952,COMPLETE
684,1.0032950099430473,0.9935125111235451,0.5033714528782752,0.49340667494654267,0.003221872175182145,COMPLETE
685,1.0035523375510642,0.7473765422449635,0.5010355676150037,0.37291431217911947,0.12605012020587686,COMPLETE
686,1.0044794763381455,0.05976938223653683,0.9189728225099465,0.004842944342950721,0.07618423314710278,COMPLETE
687,1.0034711331014856,0.8789941594714734,0.5516305003766923,0.3941141714540345,0.05425532816927324,COMPLETE
688,1.0032873621476914,0.9976937653911537,0.500527753100498,0.49832034671754416,0.0011519001819578403,COMPLETE
689,1.00329705292543,0.9877223064842184,0.5024095509632982,0.49148118600704904,0.00610926302965275,COMPLETE
690,1.0033736084679812,0.9982295629149904,0.5476833746662182,0.4515158272061245,0.0008007981276573059,COMPLETE
691,1.0034597068139213,0.875314301310605,0.5430509352136981,0.3999740513779563,0.05697501340834571,COMPLETE
692,1.0034849555065528,0.8836387907445865,0.5618055455364114,0.38720561785318924,0.05098883661039939,COMPLETE
693,1.0034534085831683,0.8875537383781457,0.5459792086849041,0.4029678506331173,0.051052940681978604,COMPLETE
694,1.003371699331218,0.8948598257431565,0.5017434457881185,0.4458697732774299,0.05238678093445163,COMPLETE
695,1.0032875310472427,0.9976790821091654,0.5006184724790292,0.49822250399939505,0.0011590235215757077,COMPLETE
696,1.0033925815045588,0.9903253697838212,0.5550985567277094,0.440597186325987,0.004304256946303643,COMPLETE
