number,value,params_catboost_fraction_of_remainder,params_official_weight,user_attrs_catboost_weight,user_attrs_residual_weight,state
658,1.0033867300019204,0.8396474311668138,0.5005325889433643,0.4193765286452433,0.08009088241139246,COMPLETE
659,1.0034745712398419,0.8826574255252765,0.5741246337863446,0.37590205433677937,0.04997331187687601,COMPLETE
660,1.003388111891113,0.9888773714046444,0.5782036594856357,0.4171048564759429,0.004691484038421425,COMPLETE
661,1.0034359655569656,0.8761670296581417,0.5511123316528216,0.39330057502591637,0.05558709332126205,COMPLETE
662,1.0033482255087949,0.989831274621551,0.5604056199289202,0.4351242655422274,0.004470114528852361,COMPLETE
663,1.0033631097241187,0.8587159166690621,0.5007357185156167,0.42872618513498284,0.07053809634940045,COMPLETE
664,1.003623935837558,0.6964694889981229,0.5231385892591823,0.33211942306158126,0.1447419876792364,COMPLETE
665,1.0032244594622375,0.9869320267213065,0.5000403247013997,0.49342621562137395,0.0065334596772263715,COMPLETE
666,1.003258796131448,0.9980769641673392,0.5216298924885889,0.47745018465339284,0.0009199228580182652,COMPLETE
667,1.0036109488472054,0.8460000669937892,0.6239811397716286,0.31811198094413046,0.05790687928424095,COMPLETE
668,1.0033633241203255,0.9886658287756838,0.5668881157067964,0.4282029200373382,0.004908964255865411,COMPLETE
669,1.0032320524747373,0.9953812142730198,0.5075199057314849,0.4902054342382859,0.00227466003022926,COMPLETE
670,1.0032203588663728,0.9994015944971137,0.5035084229131446,0.49619447379499,0.00029710329186545043,COMPLETE
671,1.0034493647970328,0.8672409647225812,0.5531067931883558,0.3875640958032983,0.05932911100834591,COMPLETE
672,1.0033381685771787,0.9930756185332138,0.5569984739728727,0.43993401447054703,0.0030675115565802448,COMPLETE
673,1.0032169740644379,0.9981730911613379,0.5013114490564703,0.49777749242207137,0.0009110585214583295,COMPLETE
674,1.0032134440380358,0.9999516357301368,0.5003396687723017,0.4996361655205988,2.416570709943744e-05,COMPLETE
675,1.003223477330502,0.9940047091620061,0.502703529097391,0.4943150339268399,0.002981436975769103,COMPLETE
676,1.0033346332442294,0.8869345667182317,0.5036325623049863,0.4402454382850658,0.056121999409947866,COMPLETE
677,1.003448770316128,0.9046270607532625,0.5720086074586278,0.3871725954623973,0.04081879707897487,COMPLETE
678,1.0036015539838345,0.6928700169624633,0.5000516733242898,0.3463992055841545,0.15354912109155572,COMPLETE
679,1.0034542042121088,0.8762870941062764,0.5605639355323504,0.385072151977855,0.05436391248979461,COMPLETE
680,1.0033397492160976,0.8854757189275575,0.5055034386876603,0.437864698135249,0.05663186317709069,COMPLETE
681,1.0033599337650392,0.8606729134807157,0.5002992931923969,0.4300788631964727,0.06962184361113043,COMPLETE
682,1.0033214608963377,0.9966275335114234,0.5506209435778743,0.44786354061367395,0.001515515808451786,COMPLETE
683,1.0034041904494542,0.9953809077694659,0.5876606363995166,0.410434730049733,0.001904633550750384,COMPLETE
684,1.003352325426048,0.8759852795096672,0.5063389279481015,0.4324398321844243,0.061221239867474235,COMPLETE
685,1.0033336391141172,0.9943293962966862,0.5553825825100026,0.44209616831582077,0.0025212491741766186,COMPLETE
686,1.0033475792053708,0.8726679999332803,0.501528992483025,0.4349996971545657,0.06347131036240933,COMPLETE
687,1.0033101191142464,0.997911813023361,0.545841040801588,0.4532105903744899,0.0009483688239220647,COMPLETE
688,1.003284824234095,0.927790053313056,0.5011672525616386,0.4628120613401355,0.036020686098225896,COMPLETE
689,1.0034792971002138,0.8746507401364284,0.5724542138265614,0.3739532383188093,0.05359254785462937,COMPLETE
690,1.003357996862897,0.9885630669054088,0.5644139147286502,0.4306043163571665,0.004981768914183303,COMPLETE
691,1.003335961993341,0.8838995579897789,0.5024344971651575,0.4397979280266794,0.05776757480816312,COMPLETE
692,1.0032360873511035,0.9954115060833412,0.5095080472690711,0.488241333389653,0.0022506193412759785,COMPLETE
693,1.0032467222304973,0.9637684012352098,0.5003047129246156,0.48159052792941237,0.018104759145971983,COMPLETE
694,1.003306585533726,0.9965676342284222,0.5436739981676793,0.45475972408295057,0.0015662777493702037,COMPLETE
695,1.0035652025520936,0.7656083396104597,0.5504818905621803,0.34415481339152204,0.10536329604629763,COMPLETE
696,1.0034404027719146,0.8879325661378648,0.559653856103145,0.3909976815392479,0.049348462357607085,COMPLETE
697,1.0032946455476757,0.9166247022707865,0.5000365007049469,0.4582788936875887,0.04168460560746447,COMPLETE
698,1.0033775787655894,0.847868884956066,0.5012849128128137,0.4228450048841669,0.07587008230301938,COMPLETE
699,1.003509004736183,0.7525777518760982,0.5012989816274434,0.37531129126513946,0.12338972710741722,COMPLETE
700,1.0033104916849542,0.9024314992236183,0.5001192910484237,0.4511080976121362,0.0487726113394401,COMPLETE
701,1.003233078404347,0.9783423583001836,0.5003986790717181,0.48878113452686217,0.01082018640141973,COMPLETE
702,1.003341133194838,0.8821136549037885,0.5041290657130748,0.4374145222043959,0.0584564120825293,COMPLETE
703,1.003317399923519,0.9983350559586699,0.5493861487521996,0.4498636044012246,0.0007502468465758368,COMPLETE
704,1.0034357796590707,0.8862495089513956,0.5564380166277996,0.39310658995311976,0.050455393419080674,COMPLETE
705,1.0032203608136039,0.9992127237879337,0.5034282651208429,0.4961807957647022,0.0003909391144548599,COMPLETE
706,1.0035674821277543,0.8905072571914107,0.6223758968603895,0.3362770043362209,0.04134709880338958,COMPLETE
707,1.0033936296201897,0.994297603367529,0.582589835007747,0.41502992667304206,0.0023802383192109726,COMPLETE
708,1.0033471196002102,0.9991480448304179,0.563344999918984,0.4362829895963731,0.000372010484642912,COMPLETE
709,1.0033257144602556,0.892840804281361,0.5024713652686335,0.4442138663865608,0.053314768344805745,COMPLETE
710,1.003217053964011,0.9987511157587009,0.501601197520215,0.49777636006948567,0.0006224424102993451,COMPLETE
711,1.003358903508323,0.9885229781072208,0.564814062769826,0.43019129870115363,0.004994638529020348,COMPLETE
712,1.003416560459588,0.9133444992200657,0.5603731598993009,0.4015307561154729,0.038096083985226195,COMPLETE
713,1.0034754028163195,0.8535214075001873,0.5589688304731029,0.376429544566051,0.06460162496084616,COMPLETE
714,1.0032618234909394,0.9991008840929766,0.5235003073528613,0.47607126419378787,0.0004284284533508066,COMPLETE
715,1.0044327048242316,0.1978460522967712,0.8791412531854488,0.023911425942793933,0.0969473208717573,COMPLETE
716,1.0034419476631717,0.8800485919353986,0.5563005025072449,0.39047711801094304,0.05322237948181203,COMPLETE
717,1.0034132318405995,0.9063310983237657,0.5553300375186655,0.40301821548729555,0.041651746994038924,COMPLETE
718,1.0032350163427195,0.980131040027144,0.5021949829228717,0.487914149118536,0.00989086795859235,COMPLETE
719,1.0032334731641757,0.984816519529877,0.5035634027455346,0.48889896187539794,0.007537635379067477,COMPLETE
720,1.003232601195113,0.992661483131497,0.506611432067642,0.48976782760385984,0.0036207403284981244,COMPLETE
721,1.0032303336062958,0.9869013714153592,0.502944692591037,0.4905445645511885,0.006510742857774481,COMPLETE
722,1.0045281315586985,0.26725772984644147,0.5051099192432686,0.13226319950656612,0.36262688125016523,COMPLETE
723,1.003305075943424,0.9998757046397534,0.5442429770466986,0.45570037446994854,5.664848335290165e-05,COMPLETE
724,1.0033320349220805,0.997000620788316,0.5556460067513926,0.4430212071186287,0.0013327861299786577,COMPLETE
725,1.003396014349892,0.8321189426314516,0.5002734860518697,0.41583189839141954,0.08389461555671078,COMPLETE
726,1.0045601147918142,0.835855837505834,0.9989761255475982,0.0008558114379131492,0.00016806301448866928,COMPLETE
