number,value,params_iterations,params_official_weight,user_attrs_all_development_folds_non_degraded,user_attrs_maximum_development_fold_brier_delta,state
214,2.004917480715711,20,0.5019874545280799,False,0.00035429654456081705,COMPLETE
215,1.0028669373741097,80,0.5001015172949873,True,-2.891674441840575e-05,COMPLETE
216,1.0034168744531209,260,0.5005972532735333,True,-3.7014493893483547e-05,COMPLETE
217,1.0030687157660165,80,0.5743944610928831,True,-4.005059360223662e-05,COMPLETE
218,1.0039602145727526,110,0.8200294872733255,True,-4.0582274516226535e-05,COMPLETE
219,1.0032503908346126,150,0.5042904233722988,True,-5.160114048233244e-05,COMPLETE
220,1.002868778374053,80,0.500809874403501,True,-2.9048324651836932e-05,COMPLETE
221,1.0028732641735876,80,0.5025333006578977,True,-2.936641420644981e-05,COMPLETE
222,1.0029010340192812,80,0.5131227128444614,True,-3.125729271868938e-05,COMPLETE
223,1.0029062780060065,80,0.5151072599780923,True,-3.159948950062774e-05,COMPLETE
224,1.0028774970335617,80,0.5041562308868797,True,-2.9663306760990826e-05,COMPLETE
225,1.003562998672393,340,0.5223782293694402,True,-1.4305125363350824e-05,COMPLETE
226,1.0030696512088348,80,0.5747244632218043,True,-4.0088037135344035e-05,COMPLETE
227,1.0031671411962875,110,0.5134099174785701,True,-4.301574170703648e-05,COMPLETE
228,1.002869883578628,80,0.5012348266629953,True,-2.9127026399455858e-05,COMPLETE
229,1.0038904708701801,190,0.7791687279937446,True,-4.806044147082078e-05,COMPLETE
230,1.0034375811708935,280,0.5028372212631697,True,-3.545803212132159e-05,COMPLETE
231,1.003339355860106,100,0.5959727399276582,True,-5.2760002236640346e-05,COMPLETE
232,1.0028970610512697,80,0.5116160077016803,True,-3.099492502070533e-05,COMPLETE
233,1.0042802583078263,200,0.9111799794610599,True,-2.4165711039192406e-05,COMPLETE
234,1.002897733590806,80,0.511871253670128,True,-3.103952766109197e-05,COMPLETE
235,1.0034618989159985,290,0.5109528310169323,True,-2.8024716835162167e-05,COMPLETE
236,1.0028669473461598,80,0.5001053558709807,True,-2.8917458768512594e-05,COMPLETE
237,1.0039340576002773,380,0.7278383809263419,True,-2.654894342288272e-05,COMPLETE
238,1.0030812662297603,70,0.5656213018851757,True,-2.544006895427442e-05,COMPLETE
239,1.002871855951907,80,0.5019926581534363,True,-2.9266940696076604e-05,COMPLETE
240,2.0046057014313337,40,0.6168877619982254,False,4.25172601832835e-05,COMPLETE
241,1.0034285815797084,240,0.5206755548326423,True,-4.0197019863241756e-05,COMPLETE
242,1.0028787171564204,80,0.5046234455545776,True,-2.974830093702141e-05,COMPLETE
243,1.00344853442755,270,0.5023151490094658,True,-3.5363759716494636e-05,COMPLETE
244,1.0028739692974347,80,0.5028038768320737,True,-2.9416090817219187e-05,COMPLETE
245,1.0031354444923481,100,0.5053059500904462,True,-4.378528832868489e-05,COMPLETE
246,1.0028726143399915,80,0.5022838617906382,True,-2.9320555053197195e-05,COMPLETE
247,1.0035736610519719,350,0.516949043577543,True,-9.650561243079725e-06,COMPLETE
248,2.005365147931929,10,0.5072421295562614,False,0.0008019637607787622,COMPLETE
249,1.0030550110601013,80,0.5695456756082768,True,-3.948817887922118e-05,COMPLETE
250,1.003286024860546,220,0.5010430061392366,True,-5.441938088396325e-05,COMPLETE
251,1.0030550570892864,80,0.5695620053416408,True,-3.94901114738333e-05,COMPLETE
252,1.002870937996289,80,0.5016400456391389,True,-2.9201909454434904e-05,COMPLETE
253,1.0035970493473145,310,0.551165746673862,True,-1.9525159506733614e-05,COMPLETE
254,1.002873067259297,80,0.5024577230540315,True,-2.93525257276106e-05,COMPLETE
255,1.002869693304258,80,0.5011616817106189,True,-2.911349240267147e-05,COMPLETE
256,1.003077289705354,80,0.5774145858787346,True,-4.0389307263216656e-05,COMPLETE
257,1.0028686122144015,80,0.5007459667517669,True,-2.9036473629645565e-05,COMPLETE
258,1.0029204643261547,70,0.5040709028387563,True,-1.3522660778031437e-05,COMPLETE
259,1.003745653368873,180,0.7277922040457755,True,-5.1619834466831716e-05,COMPLETE
260,1.0033826150720107,160,0.557011426705873,True,-4.4881099298510474e-05,COMPLETE
261,1.0030416571285896,60,0.5679453481014594,True,-9.873481749606006e-06,COMPLETE
262,1.0035302525010739,320,0.5033028882047674,True,-1.8635357665025554e-05,COMPLETE
263,1.0030657613582445,80,0.5733514122736252,True,-3.9931545927379686e-05,COMPLETE
264,2.004565252233855,380,0.5096223785263508,False,2.068062704446705e-06,COMPLETE
