spec,C,brier,competition_score,prediction_mean,new_pitcher_brier,existing_pitcher_brier,game_type_f_brier,game_type_r_brier
hierarchical_logit,0.003,0.2540325903897301,0.0,0.5219367780852407,0.25429727424536563,0.2539902228642693,0.30071681215145646,0.248578003532204
hierarchical_beta,0.0003,0.2540331768895907,0.0,0.5221355336793978,0.2543787704297557,0.25397785827910385,0.300675824815071,0.24858344752121703
hierarchical_logit,0.001,0.25404319411293264,0.0,0.5221378530132914,0.2543273508705964,0.2539977095908931,0.3007310855227664,0.248588178493534
hierarchical_interaction,0.001,0.2540866803055057,0.0,0.5221494456685227,0.25431146139958855,0.2540506999518728,0.3012190608897564,0.2485797305482421
hierarchical_beta,0.001,0.25411632054706534,0.0,0.5219557086792402,0.25448330051352913,0.254057578645201,0.30155646261053987,0.24857341192283397
hierarchical_interaction,0.003,0.25416411471581485,0.0,0.5220708481692917,0.25442979609109034,0.2541215875189654,0.3020334404702666,0.24857106024718628
hierarchical_beta,0.003,0.25418719817018887,0.0,0.5219156705727863,0.25459866915696244,0.25412133466118614,0.3022274823127506,0.24857416891475273
hierarchical_interaction,0.01,0.2542241384798523,0.0,0.5220200171935183,0.25452495647511586,0.2541759870199046,0.3026027092576305,0.2485715837966614
hierarchical_beta,0.01,0.2542415873191676,0.0,0.5219468582743261,0.25468994704801345,0.25416981908766023,0.3027252467340738,0.24857675407424168
hierarchical_interaction,0.03,0.2542471262972765,0.0,0.5220296930228301,0.254555861242542,0.25419770758368415,0.3028164694377061,0.24857228176147958
hierarchical_interaction,0.1,0.2542546931173615,0.0,0.5220360304964594,0.25457074551682435,0.254204103110468,0.30288642859527426,0.24857255865766292
hierarchical_interaction,1.0,0.2542575793871167,0.0,0.5220375997395849,0.2545769126124425,0.2542064642236248,0.3029129869895573,0.24857267907517805
hierarchical_beta,0.03,0.2542712525834121,0.0,0.5220033953605511,0.2547358826418864,0.2541968799860165,0.3029959250030676,0.24857825936668865
hierarchical_beta,0.1,0.25428301357769073,0.0,0.5220218767462674,0.2547548521187401,0.25420748712990904,0.3031023222361206,0.24857896305799027
hierarchical_beta,1.0,0.2542877228606057,0.0,0.5220287684011006,0.25476251377825093,0.25421172383057933,0.3031447611762762,0.2485792640058241
