mode,lambda,threshold,objective,objective_delta,brier,competition_score,prediction_mean,new_pitcher_brier,existing_pitcher_brier,new_pitcher_brier_delta
all,2.0,0.0,1.001814270493558,1.7833236030107003e-06,0.24862995005640887,464.35631663329644,0.5140690102138297,0.24813371720655625,0.24871596222291592,1.8863359296794613e-07
new_or_low,5.0,50.0,1.001819804895274,7.317725319033741e-06,0.2486311302838844,463.8838284980462,0.5140634006168366,0.2481430302044601,0.2487157327952174,9.50163149682215e-06
new_or_low,5.0,25.0,1.0018200251464267,7.537976471683194e-06,0.24863117890062986,463.86436544038065,0.5140644226974986,0.2481430302044601,0.2487157898387159,9.50163149682215e-06
new_or_low,5.0,100.0,1.001820267770587,7.780600632001367e-06,0.24863106866668538,463.90849611175344,0.5140630111297939,0.2481430302044601,0.2487156604978936,9.50163149682215e-06
new_only,5.0,0.0,1.0018207765761897,8.289406234762708e-06,0.24863138074777996,463.78355865903666,0.514064723404806,0.2481430302044601,0.24871602667208403,9.50163149682215e-06
new_or_low,5.0,200.0,1.0018210938014056,8.606631450636115e-06,0.24863123399107875,463.84231072296166,0.5140633223758493,0.2481430302044601,0.2487158544780062,9.50163149682215e-06
all,5.0,0.0,1.00182221210325,9.724933295096605e-06,0.24863130829616914,463.8125636832413,0.5140714893064261,0.2481430302044601,0.24871594166241684,9.50163149682215e-06
new_or_low,10.0,50.0,1.0018288294860391,1.6342316084161368e-05,0.24863289378592443,463.1778342658377,0.5140605412045811,0.2481559480533165,0.24871556291147717,2.2419480353225163e-05
new_or_low,10.0,25.0,1.0018291555183143,1.6668348359338836e-05,0.24863296070708274,463.15104328363833,0.5140623651405719,0.2481559480533165,0.24871564143209685,2.2419480353225163e-05
new_or_low,10.0,100.0,1.0018297715781697,1.7284408214690572e-05,0.24863279906409777,463.2157548702831,0.514059812844387,0.2481559480533165,0.2487154517714921,2.2419480353225163e-05
new_only,10.0,0.0,1.0018303816825014,1.78945125464125e-05,0.24863328903747858,463.01960064253353,0.51406286211588,0.2481559480533165,0.24871602667208403,2.2419480353225163e-05
new_or_low,10.0,200.0,1.0018314277445486,1.8940574593617754e-05,0.24863313414712543,463.08160890420334,0.5140604174118286,0.2481559480533165,0.2487158449345465,2.2419480353225163e-05
all,10.0,0.0,1.0018337525129168,2.1265342961873657e-05,0.24863330816782495,463.0119420666601,0.5140766799590356,0.2481559480533165,0.24871604911829817,2.2419480353225163e-05
new_or_low,20.0,50.0,1.0018439552708245,3.1468100869513904e-05,0.24863596793590736,461.94713982512513,0.5140560231739438,0.24817774810975354,0.24871539129531545,4.4219536790263136e-05
new_or_low,20.0,25.0,1.0018443333357037,3.184616574869459e-05,0.2486360309905638,461.9218967447325,0.5140590272444138,0.24817774810975354,0.2487154652792516,4.4219536790263136e-05
new_or_low,20.0,100.0,1.0018458508393038,3.336366934880708e-05,0.24863586071254362,461.99006525114993,0.5140547326058921,0.24817774810975354,0.24871526548689865,4.4219536790263136e-05
new_only,20.0,0.0,1.0018461270940544,3.3639924099437835e-05,0.24863650945161936,461.730351320977,0.5140597661481849,0.24817774810975354,0.24871602667208403,4.4219536790263136e-05
new_or_low,20.0,200.0,1.0018491589706056,3.66718006505895e-05,0.24863654193440257,461.71734727727954,0.5140558762154666,0.24817774810975354,0.24871606478511607,4.4219536790263136e-05
all,20.0,0.0,1.0018541380046109,4.1650834655904134e-05,0.24863698529220596,461.5398549665861,0.514088121087217,0.24817774810975354,0.24871658499024096,4.4219536790263136e-05
new_or_low,50.0,50.0,1.00187931377873,6.682660877510571e-05,0.24864352390610966,458.92220916987634,0.5140434398444339,0.24822956835550974,0.2487152749273395,9.603978254646428e-05
new_or_low,50.0,25.0,1.0018795219760561,6.703480610115164e-05,0.24864350469123628,458.9299015850146,0.5140483618147166,0.24822956835550974,0.24871525238194717,9.603978254646428e-05
new_only,50.0,0.0,1.0018820081598725,6.952098991752642e-05,0.24864416459933414,458.66571628763177,0.5140494080066191,0.24822956835550974,0.24871602667208403,9.603978254646428e-05
new_or_low,50.0,100.0,1.001883711077773,7.122390781799659e-05,0.24864355142742497,458.9111913828603,0.5140410265411967,0.24822956835550974,0.24871530721893126,9.603978254646428e-05
new_or_low,50.0,200.0,1.0018917106856784,7.922351572342556e-05,0.2486452554028035,458.2290278459134,0.5140434891828097,0.24822956835550974,0.24871730654479704,9.603978254646428e-05
all,50.0,0.0,1.0019062462724155,9.375910246056662e-05,0.24864697365931834,457.5411470488566,0.5141220933408895,0.24822956835550974,0.24871932262715227,9.603978254646428e-05
new_or_low,100.0,25.0,1.001922773878171,0.00011028670821611186,0.24865311380017027,455.0830245585224,0.5140272972855356,0.2482952635053729,0.24871514008309334,0.00016173493240961845
new_or_low,100.0,50.0,1.0019228662778028,0.00011037910784783556,0.24865324512492012,455.03045046797473,0.514021034034404,0.2482952635053729,0.24871529417039545,0.00016173493240961845
new_only,100.0,0.0,1.0019256284214861,0.00011314125153116805,0.24865386941776965,454.78052325441666,0.5140285130915415,0.2482952635053729,0.24871602667208403,0.00016173493240961845
new_or_low,100.0,100.0,1.0019301678998032,0.00011768072984819078,0.24865357278768452,454.89927510411474,0.5140176205975102,0.2482952635053729,0.24871567862703053,0.00016173493240961845
new_or_low,100.0,200.0,1.0019447386052631,0.00013225143530815053,0.2486567662764327,453.6208049999546,0.5140216302360712,0.2482952635053729,0.24871942564399838,0.00016173493240961845
all,100.0,0.0,1.0019789487259514,0.0001664615559964222,0.24866173344486012,451.6322661831551,0.5141726936596567,0.2482952635053729,0.248725253772997,0.00016173493240961845
new_or_low,200.0,25.0,1.0019842251383686,0.0001717379684136322,0.2486673317144245,449.3910745468344,0.5139832327870768,0.2483919096406049,0.24871507069276924,0.0002583810676416165
new_or_low,200.0,50.0,1.001984635192338,0.00017214802238307847,0.24866757474452905,449.29378072570137,0.5139759750565923,0.2483919096406049,0.24871535584734378,0.0002583810676416165
new_only,200.0,0.0,1.0019873084739257,0.00017482130397072915,0.24866814647165983,449.06489748793854,0.5139845563159632,0.2483919096406049,0.24871602667208403,0.0002583810676416165
new_or_low,200.0,100.0,1.0019951204229456,0.00018263325299061606,0.24866832091294466,448.9950622747374,0.5139716551874836,0.2483919096406049,0.24871623134932136,0.0002583810676416165
new_or_low,200.0,200.0,1.0020188964822014,0.0002064093122464694,0.24867366168734834,446.85695534949497,0.513977516140662,0.2483919096406049,0.24872249784151543,0.0002583810676416165
new_or_low,500.0,25.0,1.0020944747484006,0.0002819875784456638,0.248694028658444,438.7033134514495,0.5138741904750708,0.2485729020524448,0.24871502356397412,0.0004393734794815307
new_or_low,500.0,50.0,1.0020951850397606,0.00028269786980561484,0.24869437457597415,438.56483003859023,0.5138661643809743,0.2485729020524448,0.24871542943947808,0.0004393734794815307
new_only,500.0,0.0,1.0020977140227905,0.0002852268528354962,0.24869488358237138,438.3610561996876,0.5138755885339392,0.2485729020524448,0.24871602667208403,0.0004393734794815307
all,200.0,0.0,1.0021000892992378,0.0002876021292828046,0.24868754529957987,441.2988386390926,0.5142583596260071,0.2483919096406049,0.24873878790379828,0.0002583810676416165
new_or_low,500.0,100.0,1.00210905430265,0.0002965671326951025,0.2486956270900577,438.0634029357733,0.5138610122706552,0.2485729020524448,0.2487168990521474,0.0004393734794815307
new_or_low,500.0,200.0,1.0021458712360363,0.0003333840660812992,0.24870407780048948,434.6802751097889,0.5138691442409827,0.2485729020524448,0.24872681452637507,0.0004393734794815307
new_or_low,1000.0,25.0,1.0021934693070078,0.00038098213705284323,0.24871890174707337,428.74570823713265,0.5137566646730057,0.24874137299001645,0.24871500680079925,0.000607844417053166
new_or_low,1000.0,50.0,1.0021943073353816,0.00038182016542664954,0.24871929093884598,428.5899005655569,0.5137483439975717,0.24874137299001645,0.24871546345128118,0.000607844417053166
new_only,1000.0,0.0,1.0021967641579665,0.00038427698801157817,0.24871977095783498,428.3977314441745,0.5137580895199106,0.24874137299001645,0.24871602667208403,0.000607844417053166
new_or_low,1000.0,100.0,1.002209766129304,0.00039727895934893454,0.24872079679363046,427.9870519335538,0.5137428342452026,0.24874137299001645,0.24871723031625964,0.000607844417053166
new_or_low,1000.0,200.0,1.002254279960211,0.0004417927902560237,0.24873110680772523,423.8595769890607,0.5137521830843184,0.24874137299001645,0.24872932736772865,0.000607844417053166
all,500.0,0.0,1.00238532467681,0.0005728375068549951,0.24875139184813896,415.73873493336856,0.5144545758045248,0.2485729020524448,0.24878232952997845,0.0004393734794815307
all,1000.0,0.0,1.0027489239849696,0.0009364368150146518,0.24883571259617895,381.9820618932934,0.514683481587554,0.24874137299001645,0.24885206450419117,0.000607844417053166
