config_id,season,game_month,time_series_probability,time_series_logit_offset,training_global_rate
11,2024,4,0.503705457636901,-0.11167234042614374,0.5315815109059132
11,2024,5,0.502742102467092,-0.11552592249506895,0.5315815109059132
11,2024,6,0.5005340315345593,-0.12435831537872206,0.5315815109059132
11,2024,7,0.497417060825447,-0.13682629093436166,0.5315815109059132
11,2024,8,0.4939707854406504,-0.15061246957827093,0.5315815109059132
11,2024,9,0.49086306276384223,-0.163046260273771,0.5315815109059132
11,2024,10,0.4886706892413839,-0.17181944324281284,0.5315815109059132
12,2022,4,0.5325943266006247,-0.04243713334242866,0.5431423520563061
12,2022,5,0.5316546489705652,-0.04621142500702208,0.5431423520563061
12,2022,6,0.5291009944081859,-0.056463910340914775,0.5431423520563061
12,2022,7,0.5254254745281544,-0.07120989888339224,0.5431423520563061
12,2022,8,0.5214216099289715,-0.08726066961781295,0.5431423520563061
12,2022,9,0.5179726803363547,-0.10107788619290567,0.5431423520563061
12,2022,10,0.5158141992741684,-0.1097216912906423,0.5431423520563061
12,2023,4,0.5283927795571193,-0.04478343371999369,0.5395365039034485
12,2023,5,0.5272700198592598,-0.049288432478414024,0.5395365039034485
12,2023,6,0.5242298539915585,-0.06148147274669201,0.5395365039034485
12,2023,7,0.5199161465664904,-0.0787701038045693,0.5395365039034485
12,2023,8,0.5153152942759186,-0.0971965154947549,0.5395365039034485
12,2023,9,0.5114926834472746,-0.11249803025836708,0.5395365039034485
12,2023,10,0.5093058198688544,-0.12124928414442987,0.5395365039034485
12,2024,3,0.5013297988143074,-0.12117523453024136,0.5315815109059132
12,2024,4,0.5018111772910684,-0.11924970147766857,0.5315815109059132
12,2024,5,0.5013080388274693,-0.12126227508325149,0.5315815109059132
12,2024,6,0.49970029242829933,-0.12769327275960965,0.5315815109059132
12,2024,7,0.49716386631062115,-0.13783909875778017,0.5315815109059132
12,2024,8,0.4941236881382989,-0.1500007720799502,0.5315815109059132
12,2024,9,0.4911397464122071,-0.16193916706577685,0.5315815109059132
12,2024,10,0.48875675984861033,-0.17147498530482777,0.5315815109059132
13,2022,4,0.5329960969115835,-0.04082310830724209,0.5431423520563061
13,2022,5,0.5262495703998715,-0.06790468870360114,0.5431423520563061
13,2022,6,0.5171987509951103,-0.10417743841758492,0.5431423520563061
13,2022,7,0.5144055071959744,-0.11536161389794647,0.5431423520563061
