number,value,params_hist_weight,state,duration,user_attrs_season_2021_brier,user_attrs_season_2022_brier,user_attrs_season_2023_brier,user_attrs_weighted_mean_normalized_brier,user_attrs_weighted_std_normalized_brier
76,1.0020529143558419,0.9823486529190009,COMPLETE,0 days 00:00:00.035511,0.24575246279998747,0.2437582728089684,0.25299593140830084,0.998170136930336,0.015531109702023576
77,1.0020278279639672,0.9977966195681037,COMPLETE,0 days 00:00:00.038081,0.24575484583057847,0.24376412261803443,0.2529843809652237,0.998153205273667,0.015498490761200457
78,1.002657067447116,0.6642051975706595,COMPLETE,0 days 00:00:00.035162,0.2457223597661603,0.243659671940029,0.2532561789771266,0.9986058236639862,0.016204975132519672
79,1.002276938383263,0.8537960724583082,COMPLETE,0 days 00:00:00.032809,0.24573594163818663,0.24371340794986218,0.25309595233534177,0.9983262089790701,0.015802917616771398
80,1.0034560991624981,0.33568748130615456,COMPLETE,0 days 00:00:00.041101,0.24572925592845293,0.24360163915502894,0.25356969427437415,0.9992298397540433,0.016905037633818797
81,1.0020249755649955,0.9995685933578866,COMPLETE,0 days 00:00:00.040662,0.24575512463366966,0.2437647999146976,0.252983062492674,0.9981512881214316,0.015494749774255271
82,1.0020349203393006,0.9934045454692587,COMPLETE,0 days 00:00:00.037402,0.24575415962003,0.24376244942731895,0.25298765468269224,0.9981579793818028,0.015507763829991167
83,1.0020367382881807,0.9922819109057558,COMPLETE,0 days 00:00:00.033984,0.24575398532827525,0.24376202302794323,0.2529884927651376,0.998159204740381,0.01551013419119912
84,1.0020262545773693,0.9987736445382712,COMPLETE,0 days 00:00:00.039008,0.24575499941723372,0.24376449590352586,0.2529836538265257,0.9981521475640971,0.015496428053088917
85,1.0022615414811598,0.8621559086390032,COMPLETE,0 days 00:00:00.036730,0.24573683637658233,0.24371611844793986,0.25308923612048434,0.9983152359800835,0.015785222004304805
86,1.0020338787708205,0.994048322326822,COMPLETE,0 days 00:00:00.038030,0.24575425977126641,0.24376269418119528,0.25298717432248236,0.9981572776297336,0.015506404564347289
87,1.0022681982628916,0.8585338880695068,COMPLETE,0 days 00:00:00.040119,0.2457364456501464,0.24371494054850618,0.25309214240086525,0.9983199761261794,0.01579288854684848
88,1.0044199442291535,0.011237931653785282,COMPLETE,0 days 00:00:00.041406,0.24577394297340077,0.24358798783982,0.25392398531042415,1.000019771307167,0.0176006916879456
89,1.0020334221308922,0.994330697461667,COMPLETE,0 days 00:00:00.041475,0.24575430374662674,0.24376280158969726,0.2529869636807242,0.9981569700397073,0.015505808364739753
90,1.0022686662121387,0.858279714297743,COMPLETE,0 days 00:00:00.037633,0.24573641840722577,0.24371485809296134,0.25309234655555163,0.998320309571463,0.015793426562702984
91,1.0020286349971153,0.9972958555635022,COMPLETE,0 days 00:00:00.038343,0.24575476724363723,0.24376393144694863,0.25298475380860774,0.9981537479982721,0.015499547995373059
92,1.0020313027890047,0.9956423134547557,COMPLETE,0 days 00:00:00.036774,0.24575450838338944,0.24376330092679893,0.25298598570278463,0.998155543015625,0.015503039093518465
93,1.0020417145857496,0.9892154479839289,COMPLETE,0 days 00:00:00.040167,0.24575351154903405,0.2437608609706059,0.2529907846851642,0.9981625623214703,0.015516609057117707
94,1.0022630134236143,0.86135399561277,COMPLETE,0 days 00:00:00.036834,0.24573674946568386,0.2437158571956762,0.25308987909238223,0.9983162835918025,0.01578691932724709
95,1.0020343749599059,0.9937415830828771,COMPLETE,0 days 00:00:00.036292,0.24575421203389708,0.24376257754243288,0.2529874031770867,0.9981576119075906,0.015507052209261409
