number,value,params_l2_regularization,params_learning_rate,params_max_bins,params_max_iter,params_max_leaf_nodes,params_min_samples_leaf,state,duration,user_attrs_robust_objective,user_attrs_season_2021_brier,user_attrs_season_2021_fit_seconds,user_attrs_season_2021_normalized_brier,user_attrs_season_2022_brier,user_attrs_season_2022_fit_seconds,user_attrs_season_2022_normalized_brier,user_attrs_season_2023_brier,user_attrs_season_2023_fit_seconds,user_attrs_season_2023_normalized_brier,user_attrs_weighted_mean_normalized_brier,user_attrs_weighted_std_normalized_brier
10,1.0022123066451485,0.5769283059996485,0.04090091232014049,255,200,7,101,COMPLETE,0 days 00:00:19.659419,1.0022123066451485,0.2456669823120415,4.32884712500163,0.986905000220763,0.24364408032554616,6.026180625001871,0.9778477777462405,0.253105764598272,9.141514667000592,1.0124230657995226,0.9982227695467241,0.015958148393697334
11,1.0020951612388875,0.32615348383891873,0.0395560048507667,255,150,7,106,COMPLETE,0 days 00:00:17.087465,1.0020951612388875,0.2456565217681279,4.4660727080008655,0.9868629776298711,0.24365611789816277,5.808500291997916,0.9778960896675353,0.2530604656156348,6.589399541000603,1.012241869867648,0.9981313019719478,0.015855437067759198
12,1.005102093239488,0.15231848363112407,0.06660845948644586,255,200,63,144,COMPLETE,0 days 00:00:28.928609,1.005102093239488,0.2465451585547904,8.494973417000438,0.9904328512851894,0.2438352905771552,9.03495720799765,0.9786151861699066,0.25395875210433877,11.229436792000342,1.01583501584875,1.0008587422605628,0.016973403915700975
13,1.0021655076705143,0.13092144909631676,0.01926582399623248,255,150,7,160,COMPLETE,0 days 00:00:16.435390,1.0021655076705143,0.24581213044748645,3.6774149170014425,0.9874880961634704,0.24384267595893508,5.403599458000826,0.9786448268619834,0.2530010739623635,7.119742917002441,1.012004303252825,0.9983190292721694,0.015385913593379564
14,1.0022341822592695,0.22312386485332703,0.016543371300865965,127,150,7,90,COMPLETE,0 days 00:00:16.981096,1.0022341822592695,0.24589474062572003,3.8242477089988824,0.9878199616718125,0.24393282451193488,6.0759342499986815,0.9790066315161334,0.25298389626189793,6.891249124997557,1.01193559245046,0.9984395595533649,0.015178490823618036
15,1.00293115322755,0.14253276243198962,0.01732851995769131,255,150,23,237,COMPLETE,0 days 00:00:23.997130,1.00293115322755,0.24587225196197499,5.828467125000316,0.9877296191500402,0.24360887055294425,8.255660000002536,0.9777064658873695,0.2533457945634971,9.72439970800042,1.0133831856674467,0.9988321347558126,0.01639607388695007
16,1.0030086427468483,0.16134353943034774,0.023469342009584317,255,200,31,104,COMPLETE,0 days 00:00:30.101234,1.0030086427468483,0.2458564883203219,7.05926341599843,0.9876662927045297,0.24351594731859544,10.341942208000546,0.9773335252516373,0.25340576501013024,12.521342500000173,1.013623067455734,0.9988426885818245,0.016663816660095438
17,1.002184059730987,0.26206018607719467,0.020099101328154022,255,300,7,221,COMPLETE,0 days 00:00:29.235866,1.002184059730987,0.24566530645410328,6.971382874999108,0.9868982678851299,0.24363707791171427,9.629311458000302,0.9778196740681407,0.25309770462023906,12.448119166998367,1.012390825887155,0.998195596641147,0.01595385235936042
18,1.002024281900652,0.10103797296516422,0.02267386982506261,255,150,7,151,COMPLETE,0 days 00:00:15.613243,1.002024281900652,0.24575519268131335,3.6505662909985404,0.9872593630809504,0.24376496500597755,5.132670750001125,0.9783329396100767,0.2529827416963034,6.660493415998644,1.0119309741880482,0.9981508221485922,0.015493839008238877
19,1.0054263024508736,0.8794329830869061,0.0632508595102458,127,300,47,123,COMPLETE,0 days 00:00:35.597887,1.0054263024508736,0.24664567443729568,8.972714333001932,0.9908366484341284,0.2437156655218784,11.629580374999932,0.9781350797199206,0.2540963610810076,14.81637554199915,1.016385451759452,1.001078019648794,0.017393131208318285
